elapsed_s,interval,target_w,actual_w,cadence_rpm,speed_kph,distance_m
366.2,8,75,69,81.0,20.82,90180
367.2,8,75,82,86.0,21.12,90355
368.2,8,75,100,89.0,22.13,90536
369.2,8,75,83,85.0,22.41,90723
370.7,8,75,79,90.0,22.75,91116
371.7,8,75,73,88.0,22.64,91322
372.7,8,75,72,87.0,22.51,91534
373.7,8,75,72,89.0,22.38,91752
374.7,8,75,73,88.0,22.3,91976
375.7,8,75,68,85.0,22.01,92206
376.7,8,75,70,86.0,21.78,92442
377.7,8,75,71,87.0,21.61,92684
378.7,8,75,82,89.0,21.900000000000002,92932
379.7,8,75,81,90.0,22.19,93186
381.2,8,75,76,87.0,22.240000000000002,93190
382.2,8,75,79,89.0,22.42,93200
383.3,8,75,82,91.0,22.740000000000002,93217
384.3,8,75,76,88.0,22.78,93240
385.3,8,75,73,87.0,22.69,93269
386.3,8,75,70,85.0,22.48,93305
387.3,8,75,68,78.0,22.2,93347
388.3,8,75,68,77.0,21.91,93394
389.7,9,230,128,77.0,21.26,93507
390.7,9,230,198,72.0,20.400000000000002,93572
391.7,9,230,274,80.0,22.1,93643
392.7,9,230,238,81.0,22.3,93720
393.7,9,230,218,84.0,21.81,93803
394.7,9,230,223,85.0,21.55,93892
395.7,9,230,228,86.0,21.47,93987
396.7,9,230,225,84.0,21.27,94088
397.7,9,230,214,81.0,20.66,94194
398.7,9,230,219,80.0,20.28,94306
400.2,9,230,226,80.0,20.150000000000002,94423
401.2,9,230,228,80.0,20.01,94546
402.2,9,230,227,79.0,19.900000000000002,94674
403.2,9,230,232,79.0,19.94,94808
404.2,9,230,229,79.0,19.86,94947
405.2,9,230,218,76.0,19.37,95092
406.3,9,230,231,77.0,19.47,95242
407.3,9,230,240,80.0,19.88,95398
408.3,9,230,229,78.0,19.85,95559
409.3,9,230,216,75.0,19.27,95725
410.9,10,75,196,76.0,18.92,96072
411.9,10,75,137,82.0,20.12,96254
412.9,10,75,97,80.0,20.42,96442
413.9,10,75,85,80.0,20.650000000000002,96635
414.9,10,75,80,82.0,20.81,96834
